"Washington, D.C.","79,960"
Massachusetts,"58,540"
Washington,"50,450"
Alaska,"48,820"
New York,"48,800"
Connecticut,"48,720"
Maryland,"48,460"
New Jersey,"48,200"
Colorado,"47,940"
California,"47,920"
Rhode Island,"47,780"
Hawaii,"47,700"
Minnesota,"47,590"
Virginia,"47,200"
New Hampshire,"46,960"
North Dakota,"46,960"
Oregon,"46,910"
Vermont,"46,910"
Delaware,"46,700"
Illinois,"46,630"
Wyoming,"45,890"
Michigan,"45,190"
Wisconsin,"45,000"
Pennsylvania,"44,900"
Maine,"42,950"
Ohio,"39,680"
Arizona,"39,500"
Iowa,"39,070"
Texas,"39,030"
Utah,"38,860"
Nebraska,"38,780"
North Carolina,"38,370"
Georgia,"38,340"
Indiana,"38,330"
Missouri,"38,130"
Kansas,"38,050"
Montana,"38,050"
Florida,"37,920"
Nevada,"37,900"
New Mexico,"37,810"
South Dakota,"37,710"
Tennessee,"37,700"
Kentucky,"37,660"
Idaho,"37,550"
Oklahoma,"37,500"
Louisiana,"37,320"
Alabama,"37,250"
South Carolina,"37,250"
West Virginia,"36,860"
Arkansas,"36,680"
Mississippi,"35,070"
